Date,Open,High,Low,Close,Volume
1/4/2021 16:00:00,155.81,155.81,152.02,153.29,315661
1/5/2021 16:00:00,151.91,153.4,151.75,153.4,231776
1/6/2021 16:00:00,152.71,154.17,152.48,153.53,296179
1/7/2021 16:00:00,151.66,152.7,151.51,152.67,345057
1/8/2021 16:00:00,153.6,154.06,152.11,152.85,418079
1/11/2021 16:00:00,153.2,154.21,151.82,153.39,335997
1/12/2021 16:00:00,152.08,152.08,150.65,151.75,618796
1/13/2021 16:00:00,150.88,151,150.03,150.65,387471
1/14/2021 16:00:00,151.48,152.27,151.23,151.34,314908
1/15/2021 16:00:00,148.66,149.15,147.39,148.41,390758
1/19/2021 16:00:00,148.45,148.74,147.45,148.13,368790
1/20/2021 16:00:00,148.73,150.04,148.16,149.98,255954
1/21/2021 16:00:00,151.23,152.71,150.4,151.34,469658
1/22/2021 16:00:00,148.2,148.59,147.61,147.95,393548
1/25/2021 16:00:00,147.95,147.95,145.25,146.72,369554
1/26/2021 16:00:00,146,146.51,145.55,145.98,285786
1/27/2021 16:00:00,144.69,144.9,142.24,142.64,407492
1/28/2021 16:00:00,142.82,143.99,142.35,143.3,275051
1/29/2021 16:00:00,142.19,142.19,140.04,140.52,342940
2/1/2021 16:00:00,140.16,140.73,139.29,140.41,362856
2/2/2021 16:00:00,142.66,143.37,141.72,143.12,447858
2/3/2021 16:00:00,147.31,148.56,146.85,148.07,462248
2/4/2021 16:00:00,148.21,148.88,147.5,148.02,250840
2/5/2021 16:00:00,149.97,151.18,149.26,150.86,329913
2/8/2021 16:00:00,152.29,152.97,152.18,152.93,309620
2/9/2021 16:00:00,153.43,154.41,152.86,154,327052
2/10/2021 16:00:00,156,163.37,155.61,161.56,1415473
2/11/2021 16:00:00,162.59,162.59,158.25,158.94,466621
2/12/2021 16:00:00,159.66,161.31,159.66,160.49,417998
2/16/2021 16:00:00,158.7,159.26,156.17,156.48,468484
2/17/2021 16:00:00,156.21,156.79,155.37,156.53,279562
2/18/2021 16:00:00,153.14,153.79,152.29,153.45,490776
2/19/2021 16:00:00,153.71,154.21,153.15,153.55,231846
2/22/2021 16:00:00,153.55,153.92,152.13,152.44,291292
2/23/2021 16:00:00,151.5,153.19,149.84,152.73,304232
2/24/2021 16:00:00,150.99,152.92,150.73,152.45,419328
2/25/2021 16:00:00,152.27,152.27,148.48,149.26,446305
2/26/2021 16:00:00,150.12,150.33,146.8,147.93,592918
3/1/2021 16:00:00,149.21,149.97,148.45,149.34,348137
3/2/2021 16:00:00,149.54,150.18,148.76,149.21,337112
3/3/2021 16:00:00,150,150.19,148.68,148.83,377928
3/4/2021 16:00:00,148.64,149.28,145.55,146.85,353355
3/5/2021 16:00:00,148.05,148.97,145.95,148.52,313778
3/8/2021 16:00:00,148.57,150.4,147.99,148.23,474544
3/9/2021 16:00:00,150.86,152.45,150.56,151.54,349706
3/10/2021 16:00:00,151.07,152.17,150.25,151.88,472050
3/11/2021 16:00:00,150.15,151.29,149,150.36,498414
3/12/2021 16:00:00,149.77,150.71,149.57,150.53,295457
3/15/2021 16:00:00,153,153.66,152.26,152.9,397694
3/16/2021 16:00:00,152,152.67,151.68,152.1,284846
